question,answer
متى تأسست الأردن؟,"تأسست المملكة الأردنية الهاشمية عام 1946."
أين تقع الأردن؟,"تقع الأردن في الشرق الأوسط بين السعودية والعراق وسوريا وفلسطين."
ما مساحة الأردن؟,"تبلغ مساحة الأردن حوالي 89,342 كيلومتر مربع."
كم عدد محافظات الأردن؟,"عدد محافظات الأردن 12 محافظة."
ما هي محافظات الأردن؟,"عمان، الزرقاء، إربد، البلقاء، مادبا، الكرك، الطفيلة، معان، العقبة، المفرق، جرش، عجلون."
ما مساحة محافظة عمان؟,"تبلغ مساحة محافظة عمان حوالي 7580 كم مربع."
ما معالم محافظة عمان؟,"من معالمها المدرج الروماني، جبل القلعة، المتحف الأردني، المسرح الروماني."
ما مساحة محافظة الزرقاء؟,"تبلغ مساحة محافظة الزرقاء حوالي 4080 كم مربع."
ما معالم محافظة الزرقاء؟,"من معالمها قصر شبيب ومدينة الأزرق القريبة منها."
ما مساحة محافظة إربد؟,"تبلغ مساحة محافظة إربد حوالي 1572 كم مربع."
ما معالم محافظة إربد؟,"من معالمها أم قيس، جامعة اليرموك، والمواقع الأثرية الرومانية."
ما مساحة محافظة البلقاء؟,"تبلغ مساحة محافظة البلقاء حوالي 1120 كم مربع."
ما معالم محافظة البلقاء؟,"من معالمها مدينة السلط التاريخية ومتحف السلط."
ما مساحة محافظة مادبا؟,"تبلغ مساحة محافظة مادبا حوالي 940 كم مربع."
ما معالم محافظة مادبا؟,"من معالمها خريطة مادبا الفسيفسائية وجبل نيبو."
ما مساحة محافظة الكرك؟,"تبلغ مساحة محافظة الكرك حوالي 3495 كم مربع."
ما معالم محافظة الكرك؟,"من معالمها قلعة الكرك التاريخية ومتحف الكرك."
ما مساحة محافظة الطفيلة؟,"تبلغ مساحة محافظة الطفيلة حوالي 2209 كم مربع."
ما معالم محافظة الطفيلة؟,"من معالمها حمامات عفرا وضانا الطبيعية."
ما مساحة محافظة معان؟,"تبلغ مساحة محافظة معان حوالي 33163 كم مربع."
ما معالم محافظة معان؟,"من معالمها البتراء ووادي رم."
ما مساحة محافظة العقبة؟,"تبلغ مساحة محافظة العقبة حوالي 690 كم مربع."
ما معالم محافظة العقبة؟,"من معالمها خليج العقبة، المنتجعات السياحية، والمدينة الإسلامية القديمة أيلة."
ما مساحة محافظة المفرق؟,"تبلغ مساحة محافظة المفرق حوالي 26551 كم مربع."
ما معالم محافظة المفرق؟,"من معالمها قصر عمرة الأثري."
ما مساحة محافظة جرش؟,"تبلغ مساحة محافظة جرش حوالي 402 كم مربع."
ما معالم محافظة جرش؟,"من معالمها مدينة جرش الأثرية الرومانية."
ما مساحة محافظة عجلون؟,"تبلغ مساحة محافظة عجلون حوالي 412 كم مربع."
ما معالم محافظة عجلون؟,"من معالمها قلعة عجلون ومحمية عجلون الطبيعية."
ما هي أكلة المنسف؟,"المنسف هو الطبق الوطني الأردني. المكونات: لحم الغنم أو الدجاج، الأرز، الجميد، بهارات، مكسرات. تاريخ الأكلة: يُعتقد أن المنسف موجود منذ أكثر من 500 سنة ويعكس التراث البدوي الأردني. فيديو التحضير: https://www.youtube.com/watch?v=qyeo2t025e8. أشهر المطاعم: مطعم القرية الأردنية (عمان)، مطعم نبع الأردن (عمان)، مطعم الطاسة (إربد)."
ما هي أكلة المقلوبة؟,"المقلوبة هي طبق أرز مع دجاج أو لحم وخضار (باذنجان، بطاطا). تاريخ الأكلة: المقلوبة متداولة منذ قرون في بلاد الشام الأردنية والفلسطينية. فيديو التحضير: https://www.youtube.com/watch?v=cTc_4yudLUs. أشهر المطاعم: مطعم أم علي (عمان)، مطعم المأكولات الشرقية (الزرقاء)."
ما هي أكلة الزرب؟,"الزرب طبق بدوي أصيل من لحم أو دجاج وخضار وبهارات يُطهى عادة تحت الأرض أو على نار هادئة. تاريخ الأكلة: معروف منذ أكثر من 200 سنة في جنوب الأردن. فيديو: https://www.youtube.com/watch?v=q6HGv6fNt3I. أشهر المطاعم: زرب النصار (عمان)، مطعم أصل الزرب (سحاب)."
ما هي الكنافة؟,"الكنافة هي حلوى شرقية محبوبة، المكونات: عجينة الكنافة، جبن أو قشطة، شيرة (شراب السكر)، فستق. تاريخ الأكلة: تعود أصولها إلى المطبخ الشامي منذ أكثر من 400 سنة. فيديو التحضير: https://www.youtube.com/watch?v=DB_buxtQLEc. أشهر حلويات: حلويات شامي (عمان)، حلويات الريحان (جرش)."
ما هي المكمورة؟,"المكمورة أكلة أردنية تقليدية تجمع دجاج أو لحم مع بصل وخضار وتُخبز بطريقة خاصة. تاريخ الأكلة: تراث شعبي موجود منذ أكثر من 150 سنة. فيديو: https://www.youtube.com/watch?v=ekkKSM577eI. أشهر المطاعم: مطعم البلد (الكرك)، مطعم الطاسة (إربد)."
ما هو المطبق؟,"المطبق هو عجين محشو باللحم أو الخضار ومطهو بطريقة مطوية. تاريخ الأكلة: المطبق متداول في جنوب الأردن منذ أكثر من 100 سنة. فيديو مرجعي: https://www.youtube.com/watch?v=sRLC07sSjQU. أشهر المطاعم: مطعم البادية الأردنية (معان)، مطعم الطاسة (إربد)."
ما هي الأكلات المشهورة في الأردن؟,"الأكلات المشهورة في الأردن تشمل: المنسف، المقلوبة، الزرب، الكنافة، والمطبق. هل تريد فيديو كيفية التحضير؟ أخبرني 😄"
ما هي الفعاليات المشهورة في الأردن؟,"الأماكن والفعاليات المشهورة في الأردن تشمل:
1. وادي رم – استكشاف الجبال الرملية الحمراء، ركوب الجمال، مشاهدة النجوم.
2. البحر الميت – السباحة في الماء الملحي، الطين العلاجي، الاسترخاء على الشواطئ.
3. البتراء – زيارة المدينة الوردية، المشي في السيق، تصوير المعالم الأثرية.
4. جرش – حضور المهرجانات الرومانية، مشاهدة المسرحيات والحفلات الموسيقية.
5. جبل نيبو – مشاهدة غروب الشمس، التصوير الفوتوغرافي، زيارة المعالم الدينية.
6. العقبة – الغوص والسنوركلينغ، رحلات القوارب، التزلج على الماء.
7. مادبا – مشاهدة الخرائط الفسيفسائية، جولات ثقافية، زيارة الكنائس القديمة.
8. عجلون – التنزه في المحميات الطبيعية، ركوب الدراجات الجبلية، مشاهدة الغابات.
9. الطفيلة – رحلات المغامرة، تسلق الجبال، زيارة المواقع التاريخية.
10. عمان – زيارة المدرج الروماني، التسوق، تجربة المطاعم والمقاهي
هل تفضل أن أعمل لك خطة فعاليات؟ 😄"
ما هي البتراء ؟,"البتراء (المدينة الوردية) هي عاصمة الأنباط العرب، نُحتت في الصخر منذ أكثر من 2000 عام. المعالم الرئيسية: السيق (مدخل المدينة بطول 1.2 كم)، الخزنة (أشهر معالمها)، المدرج النبطي، الدير، والمذبح. كانت مركزاً تجارياً عالمياً يربط الصين والهند بوسط أوروبا. فازت كواحدة من عجائب الدنيا السبع الجديدة عام 2007."
ماذا يوجد في مدينة جرش
÷هه الأثرية؟,"جرش (جراسا) هي العضو الأبرز في حلف المدن العشر (الديكابوليس). تتميز بالحفاظ على تفاصيلها المعمارية الرومانية. أهم معالمها: قوس هادريان (بوابة النصر)، ساحة الندوة البيضاوية الفريدة، شارع الأعمدة (الكاردو) الذي يمتد بطول 800 متر، مسرح الجنوب الذي يتمتع بنظام صوتي مذهل، ومعبد أرتميس.ن89"
حدثني عن جبل القلعة في عمان,"جبل القلعة هو أقدم بقعة مأهولة في عمان، ويضم آثاراً من العصور البرونزية والحديدية والرومانية والأموية. أهم المعالم: معبد هرقل الروماني (بأعمدته الضخمة)، القصر الأموي الذي يضم القبة الشهيرة، الكنيسة البيزنطية، ومتحف الآثار الأردني. يوفر الجبل إطلالة كاشفة لوسط مدينة عمان والمدرج الروماني."
ما هي أهمية مدينة مادبا الأثرية؟,"تُلقب مادبا بـ (مدينة الفسيفساء). أهم معالمها هي كنيسة القديس جورج التي تحتوي على 'خارطة مادبا'، وهي أقدم خارطة أصلية للأراضي المقدسة في العالم (القرن السادس الميلادي). كما تضم متنزه مادبا الأثري وكنيسة العذراء، وتشتهر بمدرسة الفسيفساء التي تدرّس هذا الفن العريق."
ما هو وادي رم تاريخياً؟,"وادي رم (وادي القمر) هو محمية طبيعية وتاريخية. تم استيطانه منذ عصور ما قبل التاريخ، وتوجد فيه نقوش ثمودية وصفوية ونبطية على الصخور (مثل جبل الخزعلي). اشتهر عالمياً من خلال فيلم 'لورنس العرب'. يتميز بجباله الغرانيتية الشاهقة ورماله الحمراء، وهو مدرج على قائمة التراث العالمي كوقع مختلط (طبيعي وثقافي)."
ما هي القصور الصحراوية وأين تقع؟,"هي مجموعة قصور بنيت في العصر الأموي (القرن الثامن) شرق الأردن. قصر عمرة: مشهور برسومات الفريسكو والفسيفساء ومدرج على قائمة اليونسكو. قصر الخرانة: يتميز بهندسته الدفاعية المتقنة. قصر المشتى: يشتهر بواجهته المزخرفة (التي نُقل جزء منها لمتحف برلين). كانت تستخدم كمحطات للقوافل أو مراكز للصيد والاستجمام."
ما هي قلعة عجلون؟,"بناها القائد عز الدين أسامة (أحد قادة صلاح الدين الأيوبي) عام 1184م لمراقبة تحركات الصليبيين وحماية طرق التجارة. تقع فوق جبل بني عوف وتوفر إطلالة مذهلة على غور الأردن وفلسطين. تتميز بخنادقها العميقة وأبراجها المنيعة."
ما هي محمية ضانا الطبيعية؟,"محمية ضانا هي أكبر محمية طبيعية في الأردن، تقع في وادي عربة جنوب غرب المملكة. تتميز بتنوعها البيولوجي الغني، حيث تضم أكثر من 800 نوع من النباتات وحوالي 215 نوعاً من الطيور. توفر المحمية فرصاً رائعة للمشي لمسافات طويلة، مشاهدة الطيور، والتعرف على الحياة البرية المحلية. كما تحتوي على قرى تاريخية مثل قرية ضانا التي تعكس التراث الثقافي للمنطقة."
ما هي مدينة العقبة السياحية؟,"العقبة هي المدينة الساحلية الوحيدة في الأردن على خليج العقبة. تشتهر بشواطئها الجميلة، المنتجعات الفاخرة، والأنشطة المائية مثل الغوص والسنوركلينغ. تضم مواقع تاريخية مثل المدينة الإسلامية القديمة أيلة، وأسواقاً تقليدية تقدم الحرف اليدوية المحلية والمأكولات البحرية الطازجة."
Category,Question,Answer
Education_System,ما هي مراحل التعليم في الأردن؟,"ينقسم التعليم في الأردن إلى مرحلتين رئيسيتين: مرحلة التعليم الأساسي الإلزامي (من الصف الأول حتى العاشر)، ومرحلة التعليم الثانوي (الصف الأول ثانوي والثاني ثانوي/التوجيهي) التي تتفرع إلى أكاديمي ومهني."
Education_System,هل التعليم مجاني في الأردن؟,"نعم، التعليم الحكومي في الأردن مجاني لجميع الطلاب الأردنيين في المدارس الحكومية من الصف الأول وحتى الثانوية العامة."
Tawjihi_General,ما هو امتحان التوجيهي؟,"التوجيهي هو امتحان الشهادة الثانوية العامة في الأردن، وهو الامتحان الوطني الذي يحدد مسار الطالب الجامعي وتخصصه بناءً على المعدل الذي يحصله."
Tawjihi_General,متى يعقد امتحان التوجيهي؟,"يعقد امتحان التوجيهي عادة في دورتين: الدورة الصيفية (الرئيسية) وتكون غالباً في شهر حزيران/يوليو، والدورة التكميلية (الشتوية) وتكون في شهر كانون الأول/يناير للطلاب الذين يرغبون برفع معدلهم أو استكمال متطلبات النجاح."
Tawjihi_Streams,ما هي فروع التوجيهي الأكاديمية؟,"الفروع الأكاديمية الرئيسية هي: الفرع العلمي (يؤهل لجميع التخصصات بما فيها الطب والهندسة)، والفرع الأدبي (يؤهل للتخصصات الإنسانية والاجتماعية واللغات)."
Tawjihi_Streams,ما هي فروع التوجيهي المهنية؟,"تشمل الفروع المهنية: الصناعي، الزراعي، الفندقي والسياحي، والاقتصاد المنزلي. هذه الفروع تؤهل الطالب لسوق العمل مباشرة أو لدخول الجامعات في تخصصات محددة."
Tawjihi_Streams,ما هو تخصص BTEC في المدارس الأردنية؟,"هو مسار التعليم المهني التقني الجديد المعتمد دولياً، يركز على التدريب العملي والمهارات التقنية بدلاً من الحفظ النظري، ويؤهل الطالب للجامعة أو سوق العمل بشهادات معتمدة عالمياً."
University_Admission,كيف يتم القبول في الجامعات الأردنية؟,"يتم القبول عبر وحدة القبول الموحد (Qabul Muwahad) للجامعات الحكومية، حيث يتنافس الطلاب بناءً على معدلات التوجيهي. كما يوجد نظام الموازي (على نفقة الطالب) والقبول المباشر في الجامعات الخاصة."
University_Admission,ما هو أقل معدل للقبول في الجامعات الحكومية؟,"يحدد مجلس التعليم العالي الحدود الدنيا، وعادة ما تكون: 85% للطب وطب الأسنان، 80% للهندسة والصيدلة، 65% لباقي التخصصات في الجامعات الحكومية، و60% في الجامعات الخاصة (هذه النسب قد تتغير سنوياً)."
