category,question,answer 
General3333~,When was Jordan founded?,"Welcome! The Hashemite Kingdom of Jordan was founded in 1946. Would you like me to tell you about the history of the Great Arab Revolt?"
Geo``2graphy,Where is Jordan located?,"With pleasure. Jordan is located in the Middle East between Saudi Arabia, Iraq, Syria, and Palestine. Would you like to know the total area of Jordan?"
Graphy,``3What is th3e area of Jordan?,"Welcome. The area of Jordan is approximately 89,342 square kilometers. Do you want to know how many governorates it has?"
Geography,How many governorates does Jordan have?,"Great question! Jordan has 12 governorates. Would you like me to name them for you?"
G@@@eography,What are the governorates of Jordan?,"With pleasure. They are: Amman, Zarqa, Irbid, Balqa, Madaba, Karak, Tafila, Ma'an, Aqaba, Mafraq, Jerash, and Ajloun. Would you like to know the landmarks of a specific governorate?"
Geography,What is the area of Amman?,"Welcome. The areasvs                of Amman Governorate is approximately 7,580 square kilometers. Would you like to know its most famous landmarks?"
Tourism,What are the landmarks of Amman?,"With pleasure. Landmarks include the Roman Theater, the Citadel, the Jordan Museum, and the Roman Amphitheater. Would you like a walking tour suggestion for downtown Amman?"
Geography,What is the area of Zarqa?,"Welcome. The area of Zarqa Governorate is approximately 4,080 square kilometers. Would you like to know its prominent landmarks?"
Tou3##rism,What are    NULL      he landmarks of Zarqa?,"With pleasure. Landmarks include Qasr Al-Shubeib and the nearby Azraq town. Would you like to hear about the Azraq Wetland Reserve?"
Geography,What is the area of Irbid?,"Welcome. The area of Irbid Governorate is approximately 1,572 square kilometers. Would you like to know about its historical sites?"
Tourism,What are the landmarks of Irbid?,"With pleasure. Landmarks include Umm Qais, Yarmouk University, and Roman archaeological sites. Have you ever tried the famous Makmoura dish from Irbid?"
Geography,What is the area of Balqa?,"Welcome. The area of Balqa Governorate is approximately 1,120 square kilometers. Would you like to know about the landmarks of Salt city?"
Tourism,What are the landmarks of Balqa?,"With pleasure. Landmarks include the historical city of Salt and the Salt Museum. Do you know why Salt was added to the UNESCO World Heritage list?"
NAN,W    rdvhat is the area of Madaba?,"Welcome. The area of Madaba Governorate is approximately 940 square kilometers. Would you like to know why it is called the City of Mosaics?"
T//ourism,What are the landmar        ks of Madaba?,"With pleasure. Landmarks include the Madaba Mosaic Map and Mount Nebo. Would you like to know more details about Mount Nebo?"
Geography,What is the area of Karak?,"Welcome. The area of Karak Governorate is approximately 3,495 square kilometers. Would you like to know its main historical landmarks?"
Tourism,What are the landmarks of Karak?,"With pleasure. Landmarks include Karak Castle and Karak Museum. Did you know Karak is famous for making the best Jameed used in Mansaf?"
Geography,W//*+hat is the area of Tafila?,"Welcome. The area of Tafila Governorate is approximately 2,209 square kilometers. Would you like to know about its natural reserves?"
Tourism,What are the landmarks of Tafila?,"With pleasure. Landmarks include Afra Hot Springs and Dana Nature Reserve. Would you like to hear about the eco-lodges in Dana?"
Geography,What is the area of Ma'an?,"Welcome. The area of Ma'an Governorate is the largest, approximately 33,163 square kilometers. Would you like to know the wonders located there?"
Touri?m,What are the landmarks of Ma'an?,"With pleasure. Landmarks include Petra and Wadi Rum. Would you like a travel itinerary to visit both places?"
Geography,What is the area of Aqaba?,"Welcome. The area of Aqaba Governorate is approximately 690 square kilometers. Would you like me to suggest marine activities there?"
Tourism,What are the lreeandmarks of Aqaba?,"With pleasure. Landmarks include Aqaba Bay, tourist resorts, and the old Islamic city of Ayla. Have you ever tried the famous Sayadiyah seafood dish?"
Geography,What is the area of Mafraq?,"Welcome. The area of Mafraq Governorate is approximately 26,551 square kilometers. Would you like to know about its archaeological sites?"
Tourism,What are the landmarks of Mafraq?,"With pleasure. Landmarks include Omra Palace. Would you like me to tell you more about the Umayyad Desert Castles?"
Geography,vvvWhat is the area of Jerash?,"Welcome. The area of Jerash Governorate is approximately 402 square kilometers. Would you like to know more about this ancient Roman city?"
Tourism,What are the landmarks of Jerash?,"With pleasure. Landmarks include the well-preserved Roman city of Jerash. Have you heard of the annual Jerash Festival for Culture and Arts?"
Geography,What is the area of Ajloun?,"Welcome. The area of Ajloun Governorate is approximately 412 square kilometers. Would you like me to tell you about its beautiful forests?"
Tourism,What are the landmarks of Ajloun?,"With pleasure. Landmarks include Ajloun Castle and Ajloun Nature Reserve. Would you like to know about the new Ajloun Cable Car experience?"
Food,What is Mansaf?,"Welcome! Mansaf is Jordan’s national dish made with lamb or chicken, rice, jameed (dried yogurt), spices, and nuts. It has been part of Jordanian Bedouin heritage for over 500 years. Would you like to know the best restaurants that serve it in Amman?"
Food,What is Maqluba?,"With pleasure. Maqluba is a rice and meat (or chicken) dish with vegetables like eggplant and potatoes. It has been prepared for centuries across Jordan and Palestine. Would you like me to suggest other traditional dishes?"
Food,What is Zarb?,"Welcome. Zarb is a Bedouin dish of meat or chicken with vegetables and spices, cooked slowly under the hot sand. It has been a traditional dish in southern Jordan for over 200 years. Would you like to know the best camps in Wadi Rum to try it?"
Food,What is Kunafa?,"With pleasure. Kunafa is a famous Middle Eastern dessert with shredded dough, cheese or cream, and sweet syrup. It has roots in Levantine cuisine dating back over 400 years. Would you like to know where to find the best Kunafa in downtown Amman?"
Food,What is Makmoura?,"Welcome. Makmoura is a traditional Jordanian savory dish from the north, made with chicken or meat, onions, and baked between layers of dough. Would you like to learn about other local dishes from Irbid?"
Food,What is Mutabbaq?,"With pleasure. Mutabbaq is a stuffed pastry dish with meat or vegetables, made in southern Jordan for over 100 years. Would you like me to suggest some traditional Jordanian sweets?"
Food,What are the popular dishes in Jordan?,"Welcome! The popular dishes in Jordan include Mansaf, Maqluba, Zarb, Kunafa, and Mutabbaq. Would you like me to explain the ingredients of any of these dishes?"
Food,What are the popular food in Jordan?,"With pleasure. The popular food in Jordan includes Mansaf, Maqluba, Zarb, Kunafa, and Mutabbaq. Do you want to know the best places to try them?"
Food,the popular food in Jordan,"Welcome! The popular food in Jordan includes Mansaf, Maqluba, Zarb, Kunafa, and Mutabbaq. Would you like me to share a preparation video for any of them?"
Tourism,What are the popular activities in Jordan?,"With pleasure! Popular activities include exploring Wadi Rum, floating in the Dead Sea, visiting Petra, attending the Jerash Festival, and diving in Aqaba. Would you like me to create a customized itinerary for your trip?"
Tourism,information about Petra,"Welcome. Petra (The Rose City) was the capital of the Nabataean Kingdom, carved into sandstone over 2,000 years ago. It's one of the New Seven Wonders of the World. Key sites include the Siq, The Treasury, and the Monastery. Would you like to know the best time to take photos there?"
Tourism,What to see in Jerash?,"With pleasure. Jerash is the best-preserved Roman city in the Decapolis league. Main attractions include Hadrian’s Arch, the unique Oval Plaza, the Colonnaded Street, and the Temple of Artemis. Would you like to know when the annual Jerash Festival is held?"
Tourism,Tell me about Amman,"Welcome. The Citadel (Jabal al-Qal'a) is one of the oldest continuously inhabited places in the world. It features the Temple of Hercules, the Umayyad Palace, and offers a panoramic view of downtown Amman. Would you like me to suggest some nearby historical cafes?"
Tourism,What is the significance of Madaba?,"With pleasure. rsvMadaba is known as the City of Mosaics. Its crown jewel is St. George's Church, housing the 'Madaba Map', the oldest surviving cartographic depiction of the Holy Land. Would you like to know about Mount Nebo which is located nearby?"
Tourism,History of Wadi Rum,"Welcome. Wadi Rum (The Valley of the Moon) is a UNESCO World Heritage site inhabited since prehistoric times. Famous for its red dunes, it gained global fame via 'Lawrence of Arabia'. Would you like to experience camping in the glass bubble tents there?"
Tourism,Information about Desert Castles,"With pleasure. These are 8th-century Umayyad structures located in Jordan's eastern desert, like Qusayr Amra, Qasr Al-Kharanah, and Qasr Al-Mshatta. They served as hunting lodges and caravan stations. Would you like to know which one is a UNESCO World Heritage site?"
Tourism,What is Ajloun Castle?,"Welcome. Built in 1184 by Izz al-Din Usama (a general of Saladin), Ajloun Castle was designed to protect trade routes and offers breathtaking views of the Jordan Valley. Would you like me to suggest hiking trails in the surrounding forests?"
Tourism_Petra,What is Petra?,"Petra is the Rose City carved into rock, the capital of the Nabataeans. It is one of the New Seven Wonders of the World and a UNESCO World Heritage Site."
Tourism_Petra,What is the Siq?,"The Siq is a narrow, 1.2km long rock gorge that serves as the main entrance to the ancient city of Petra, ending with a dramatic view of The Treasury."
Tourism_Petra,Best time to photograph The Treasury?,"The best time is between 9 AM and 11 AM when sunlight hits the facade directly, or at night during the 'Petra by Night' candlelit event."
Tourism_Wadi_Rum,Why is Wadi Rum called Valley of the Moon?,"It is called Valley of the Moon due to its unique rock formations and red sands that resemble the surface of Mars and the Moon. Famous movies like 'The Martian' were filmed there."
Tourism_Wadi_Rum,What is Zarb?,"Zarb is a traditional Bedouin barbecue in Wadi Rum, where meat and vegetables are placed in a drum and buried under hot sand and coal to cook slowly for hours."
Tourism_Dead_Sea,What makes the Dead Sea special?,"The Dead Sea is the lowest point on Earth (430m below sea level). It is famous for its hyper-saline water which makes sinking impossible (floating), and its mineral-rich healing mud."
Tourism_Jerash,What can I see in Jerash?,"Jerash is one of the best-preserved Roman provincial cities in the world. It features the Colonnaded Street, the Oval Plaza, and ancient theaters that host the Jerash Festival."
Tourism_Aqaba,Activities to do in Aqaba?,"Aqaba is Jordan's only coastal city on the Red Sea. It is famous for scuba diving to see colorful coral reefs, boat trips, and the underwater military museum."
Tourism_Nature,What is Dana Biosphere Reserve?,"Dana is Jordan's largest nature reserve, featuring immense biodiversity ranging from green mountains to desert landscapes. It is perfect for hiking and eco-camping."
Tourism_Nature,What is Wadi Mujib?,"Wadi Mujib is the 'Grand Canyon' of Jordan, a narrow water gorge flowing between towering sandstone cliffs into the Dead Sea, popular for canyoning adventures."
Tourism_Religious,What is Al-Maghtas (Baptism Site)?,"Al-Maghtas is the site on the Jordan River where Jesus Christ was baptized. It is a major Christian pilgrimage site recognized by UNESCO and the Vatican."
Tourism_Amman,Top attractions in Amman?,"Amman mixes ancient and modern. Key sites include the Citadel (Temple of Hercules), the Roman Theatre downtown, Rainbow Street, and King Abdullah I Mosque."
Jordan_Food,What is Mansaf?,"Mansaf is Jordan's national dish. It consists of lamb cooked in 'Jameed' (dried yogurt sauce), served over Shrak bread and rice, and garnished with almonds and pine nuts."
Jordan_Food,Arabic Coffee traditions?,"Arabic coffee is a symbol of hospitality. It is poured with the left hand and served with the right. Shaking the cup means 'finished', while lifting it up means 'refill'."
Jordan_Logistics,What is the Jordan Pass?,"It is a ticket that offers free entry to over 40 attractions (including Petra) and waives tourist visa fees if you stay in Jordan for at least 3 consecutive nights."
Jordan_Logistics,What is the currency of Jordan?,"The official currency is the Jordanian Dinar (JOD). It is pegged to the US Dollar (1 JOD approx 1.41 USD). ATMs and exchange shops are widely available."
Jordan_Logistics,How to travel between cities?,"You can use Jett tourist buses for comfort, rent a car, or use ride-hailing apps inside Amman. Yellow taxis are also common."
Culture_Souvenirs,Best souvenirs to buy?,"Popular souvenirs include Dead Sea products, mosaics from Madaba, the Jordanian red Keffiyeh (Shemagh), and sand art in bottles."
Generic_Safety,Is Jordan safe for tourists?,"Yes, Jordan is considered one of the safest and most stable countries in the Middle East. Jordanians are known for their hospitality and willingness to help visitors."
Category,Question,Answer
Tourism_Petra,What is Petra?,"Petra is the Rose City carved into rock, the capital of the Nabataeans. It is one of the New Seven Wonders of the World and a UNESCO World Heritage Site."
